<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;240118;000000;164.13;167.55;164.12;166.52;39378520
GAZP;D;240119;000000;166.55;167.62;165.2;165.9;23518580
GAZP;D;240122;000000;165.98;167;165.26;166.06;12995310
GAZP;D;240123;000000;166.38;168.96;165.6;168.31;29332620
GAZP;D;240124;000000;168.36;168.63;166.2;166.36;18314770
GAZP;D;240125;000000;166.37;166.94;165.36;165.42;16162970
GAZP;D;240126;000000;165.66;165.95;163.65;163.99;20980140
GAZP;D;240129;000000;164.06;164.49;162.85;163.5;17070970
GAZP;D;240130;000000;163.39;163.79;162.71;163.22;17815100
GAZP;D;240131;000000;163.41;166.48;162.9;166.33;39738490
GAZP;D;240201;000000;166.71;166.75;164.8;165.25;20836140
GAZP;D;240202;000000;165.16;167.85;164.4;164.4;32725330
GAZP;D;240205;000000;164.45;165.22;163.55;164.87;17938190
GAZP;D;240206;000000;164.87;165.12;164.04;164.56;13168200
GAZP;D;240207;000000;164.57;165.59;164.34;164.62;16372630
GAZP;D;240208;000000;164.62;164.96;163.1;163.21;17718920
GAZP;D;240209;000000;163.47;163.97;163.2;163.23;12313700
GAZP;D;240212;000000;163.33;163.5;162.21;162.49;17879140
GAZP;D;240213;000000;162.62;163.9;162;162.29;15061640
GAZP;D;240214;000000;162.38;162.88;161.07;161.92;22008050
GAZP;D;240215;000000;162.09;162.61;161.31;161.59;16625530
GAZP;D;240216;000000;161.98;162;161.1;161.19;17123190
GAZP;D;240219;000000;161.41;162.2;160.84;161.24;13001080
GAZP;D;240220;000000;161.23;161.64;159.16;159.5;21831180
GAZP;D;240221;000000;159.65;160.23;158.3;158.64;22478950
GAZP;D;240222;000000;158.99;159.1;158;158.12;17651550
GAZP;D;240226;000000;158.94;160.56;158.85;160.09;16569370
GAZP;D;240227;000000;160.14;160.14;158.81;159.04;12055350
GAZP;D;240228;000000;159.19;162.27;159.05;160.65;33707380
GAZP;D;240229;000000;160.68;162.3;160;161.82;18111950
GAZP;D;240301;000000;161.81;163.1;161.18;161.34;18285650
GAZP;D;240304;000000;161.49;162;160.86;161.24;16530800
GAZP;D;240305;000000;161.23;161.8;160.23;160.98;14116140
GAZP;D;240306;000000;160.99;162;160.5;161.65;13596360
GAZP;D;240307;000000;161.65;162.3;160.75;160.91;14196940
GAZP;D;240311;000000;161.04;161.28;160.51;160.56;15883610
GAZP;D;240312;000000;160.62;163.31;160.56;162.99;26510020
GAZP;D;240313;000000;163.13;163.22;161.1;161.77;19180710
GAZP;D;240314;000000;161.8;161.81;160.53;161.1;13996010
GAZP;D;240315;000000;161.14;161.42;160.04;160.86;14151130
GAZP;D;240318;000000;161.12;161.43;160.31;160.58;14241450
GAZP;D;240319;000000;160.51;161.25;158.04;158.55;38252890
GAZP;D;240320;000000;158.6;158.98;157.75;158.42;21060990
GAZP;D;240321;000000;158.7;159.16;157.87;158.28;18038400
GAZP;D;240322;000000;158.39;158.69;156;156.44;28149960
GAZP;D;240325;000000;157.1;158.97;155.75;158.84;26914060
GAZP;D;240326;000000;159.1;159.45;156.9;157.94;27990050
GAZP;D;240327;000000;158.01;158.6;157.2;157.79;11865150
GAZP;D;240328;000000;157.79;157.95;157.04;157.05;10217550
GAZP;D;240329;000000;157.04;157.9;156.51;157.22;16044130
GAZP;D;240401;000000;157.69;158.25;157.43;158.06;16732650
GAZP;D;240402;000000;158.17;164.98;157.51;164.18;72244180
GAZP;D;240403;000000;164.1;165.36;162.12;162.63;42984880
GAZP;D;240404;000000;162.77;164.3;161.52;162.69;30238210
GAZP;D;240405;000000;162.78;164.63;162.1;163.59;22814020
